t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769450213.7546492,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.7914663924369138e-15,4.965794140743047e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450213.8048565,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.7914663924369138e-15,4.965794140743047e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450213.8546464,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.854710549038709e-15,4.232690825084906e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450213.9048831,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.854710549038709e-15,4.232690825084906e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450213.954649,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.184832975395988e-15,2.4364435494428583e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450214.00493,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.184832975395988e-15,2.4364435494428583e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450214.0546505,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.514984462828795e-15,6.400381479857296e-16,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450214.104875,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.514984462828795e-15,6.400381479857296e-16,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450214.154662,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.845195660190812e-15,-1.1566921444485329e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450214.2049754,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.845195660190812e-15,-1.1566921444485329e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
