t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769450045.3806133,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.5623788939248238e-16,-4.681603078043795e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.4306366,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.5623788939248238e-16,-4.681603078043795e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.480506,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.9527673107186157e-15,-5.011777358407523e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.530569,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.9527673107186157e-15,-5.011777358407523e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.5804822,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.0162996615104562e-15,-4.278475333812246e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.6305168,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.0162996615104562e-15,-4.278475333812246e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.6805606,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.34642454824277e-15,-2.482214670888386e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.73055,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.34642454824277e-15,-2.482214670888386e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.7806249,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.676547788333643e-15,-6.859629675957623e-16,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.8305502,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.676547788333643e-15,-6.859629675957623e-16,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.8805423,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.006659092787616e-15,1.1102237920470158e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.9305418,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.006659092787616e-15,1.1102237920470158e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450045.9805226,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.336904743324842e-15,2.9071415495462486e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
1769450046.0304415,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.336904743324842e-15,2.9071415495462486e-15,7.428811250853212e-16,0.0,0.0,0.0,0.0,0.0,0.0
