t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769450247.5967293,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.330003397266111e-15,2.912518470213779e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.6468422,6.749960660934448,-4.995262145996094,-2.1744382449875523,-4.330003397266111e-15,2.912518470213779e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.6967452,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.596920227936527e-15,3.975733407924244e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.7468808,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.596920227936527e-15,3.975733407924244e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.796901,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.8003916152402497e-15,4.305907539674331e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.8469398,6.749960660934448,-4.995262145996094,-2.1744382449875523,-1.8003916152402497e-15,4.305907539674331e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.8968992,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.857066242295948e-18,4.636082762424715e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.9469695,6.749960660934448,-4.995262145996094,-2.1744382449875523,-3.857066242295948e-18,4.636082762424715e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450247.9968774,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.7923452360077664e-15,4.966196923369161e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450248.0468626,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.7923452360077664e-15,4.966196923369161e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450248.0969179,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.855605551880137e-15,4.233082465947613e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450248.1468558,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.855605551880137e-15,4.233082465947613e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450248.1968987,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.185724975348486e-15,2.436851529489542e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450248.2468696,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.185724975348486e-15,2.436851529489542e-15,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
1769450248.2967737,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.5158408754475257e-15,6.406397642298447e-16,7.428811250853212e-16,-11000.0,-0.47996554429844057,0.0,0.0,-11000.0,0.0
