t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769449922.9915214,8.597625732421875,-0.03827087953686714,-1.4680067833542687,0.0001466833120149893,-2.5064451002954457e-05,2.042065160128364e-08,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.041544,8.597625732421875,-0.03827087953686714,-1.4680067833542687,0.0001466833120149893,-2.5064451002954457e-05,2.042065160128364e-08,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.091503,8.597625732421875,-0.03827087953686714,-1.4680067833542687,0.00011398114852335531,-1.950157225187988e-05,1.5933463700532822e-08,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.141571,8.597625732421875,-0.03827087953686714,-1.4680067833542687,0.00011398114852335531,-1.950157225187988e-05,1.5933463700532822e-08,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.1914368,8.597625732421875,-0.03827087953686714,-1.4680067833542687,8.895690610349861e-05,-1.5235669762272345e-05,1.2427432303969587e-08,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.241569,8.597625732421875,-0.03827087953686714,-1.4680067833542687,8.895690610349861e-05,-1.5235669762272345e-05,1.2427432303969587e-08,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.2915256,8.597625732421875,-0.03827087953686714,-1.4680067833542687,6.96893673339212e-05,-1.1943941688046997e-05,9.690758137393495e-09,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.3415074,8.597625732421875,-0.03827087953686714,-1.4680067833542687,6.96893673339212e-05,-1.1943941688046997e-05,9.690758137393495e-09,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.3914418,8.597625732421875,-0.03827087953686714,-1.4680067833542687,5.4748591303832455e-05,-9.386356600057796e-06,7.555588090363769e-09,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.4414299,8.597625732421875,-0.03827087953686714,-1.4680067833542687,5.4748591303832455e-05,-9.386356600057796e-06,7.555588090363769e-09,0.0,0.0,0.0,0.0,0.0,0.0
1769449923.4914997,8.597625732421875,-0.03827087953686714,-1.4680067833542687,4.307547262289306e-05,-7.384983767493521e-06,5.889063926803632e-09,0.0,0.0,-100.0,0.0,0.0,-100.0
