t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769450030.5561225,6.749960660934448,-4.995262145996094,-2.1744382449875523,7.151652377277495e-05,-8.398097208874603e-06,-1.1736915411719206e-05,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.6062608,6.749960660934448,-4.995262145996094,-2.1744382449875523,7.151652377277495e-05,-8.398097208874603e-06,-1.1736915411719206e-05,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.6561155,6.749960660934448,-4.995262145996094,-2.1744382449875523,5.611048299189125e-05,-6.646124380759012e-06,-9.147236679481236e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.706243,6.749960660934448,-4.995262145996094,-2.1744382449875523,5.611048299189125e-05,-6.646124380759012e-06,-9.147236679481236e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.7560797,6.749960660934448,-4.995262145996094,-2.1744382449875523,4.413231393973067e-05,-5.2653425498214215e-06,-7.132952281152007e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.80626,6.749960660934448,-4.995262145996094,-2.1744382449875523,4.413231393973067e-05,-5.2653425498214215e-06,-7.132952281152007e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.8561735,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.47341361421552e-05,-4.166358842114022e-06,-5.559654187388209e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.9062912,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.47341361421552e-05,-4.166358842114022e-06,-5.559654187388209e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450030.956167,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.7336493957007032e-05,-3.2897615277522768e-06,-4.334430400401116e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.0062604,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.7336493957007032e-05,-3.2897615277522768e-06,-4.334430400401116e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.0561635,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.1495122599333883e-05,-2.589920816725029e-06,-3.379649656062468e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.1062748,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.1495122599333883e-05,-2.589920816725029e-06,-3.379649656062468e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.1561642,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.687375943025288e-05,-2.0317805071073406e-06,-2.635051569702577e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.2062545,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.687375943025288e-05,-2.0317805071073406e-06,-2.635051569702577e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.256174,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.3216526441422919e-05,-1.5879496114744466e-06,-2.054037583097384e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.3062627,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.3216526441422919e-05,-1.5879496114744466e-06,-2.054037583097384e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.3561816,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.0330049538253888e-05,-1.2370570035942406e-06,-1.6014259661211155e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.40617,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.0330049538253888e-05,-1.2370570035942406e-06,-1.6014259661211155e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.4561641,6.749960660934448,-4.995262145996094,-2.1744382449875523,8.05457194187156e-06,-9.607281306464817e-07,-1.2480922117484269e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.5062208,6.749960660934448,-4.995262145996094,-2.1744382449875523,8.05457194187156e-06,-9.607281306464817e-07,-1.2480922117484269e-06,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.556152,6.749960660934448,-4.995262145996094,-2.1744382449875523,6.269056791711827e-06,-7.44607050289277e-07,-9.729566312174212e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.6062288,6.749960660934448,-4.995262145996094,-2.1744382449875523,6.269056791711827e-06,-7.44607050289277e-07,-9.729566312174212e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.6561713,6.749960660934448,-4.995262145996094,-2.1744382449875523,4.871827001145053e-06,-5.76311699612484e-07,-7.584454997259807e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.706246,6.749960660934448,-4.995262145996094,-2.1744382449875523,4.871827001145053e-06,-5.76311699612484e-07,-7.584454997259807e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.7561991,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.7827105912076757e-06,-4.458992456027573e-07,-5.913836833356051e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.8062344,6.749960660934448,-4.995262145996094,-2.1744382449875523,3.7827105912076757e-06,-4.458992456027573e-07,-5.913836833356051e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.856175,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.9352110141766824e-06,-3.4505219364202365e-07,-4.610331302841669e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.9061708,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.9352110141766824e-06,-3.4505219364202365e-07,-4.610331302841669e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450031.956102,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.2776380192062885e-06,-2.672759521705218e-07,-3.5943968814198805e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.0062008,6.749960660934448,-4.995262145996094,-2.1744382449875523,2.2776380192062885e-06,-2.672759521705218e-07,-3.5943968814198805e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.0560982,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.7681814368737254e-06,-2.0733642712436734e-07,-2.802318514372764e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.106245,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.7681814368737254e-06,-2.0733642712436734e-07,-2.802318514372764e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.1564066,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.3733865892644835e-06,-1.6107903391709792e-07,-2.183926758447742e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.2062538,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.3733865892644835e-06,-1.6107903391709792e-07,-2.183926758447742e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.2561855,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.0679489194105282e-06,-1.2538810412509138e-07,-1.7023801723412025e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.306284,6.749960660934448,-4.995262145996094,-2.1744382449875523,1.0679489194105282e-06,-1.2538810412509138e-07,-1.7023801723412025e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.3561618,6.749960660934448,-4.995262145996094,-2.1744382449875523,8.314760296771036e-07,-9.778814410257857e-08,-1.327204353679729e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.4061244,6.749960660934448,-4.995262145996094,-2.1744382449875523,8.314760296771036e-07,-9.778814410257857e-08,-1.327204353679729e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.4561706,6.749960660934448,-4.995262145996094,-2.1744382449875523,6.480755590313478e-07,-7.637594360824122e-08,-1.0346830725608805e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.5063078,6.749960660934448,-4.995262145996094,-2.1744382449875523,6.480755590313478e-07,-7.637594360824122e-08,-1.0346830725608805e-07,0.0,0.0,0.0,0.0,0.0,0.0
1769450032.55617,6.749960660934448,-4.995262145996094,-2.1744382449875523,5.056026999128474e-07,-5.971573679904072e-08,-8.065955553193646e-08,0.0,0.0,0.0,0.0,0.0,0.0
