t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1770735120.3407536,5.195326328277588,5.55712890625,-0.7154531591079802,0.15992144965736163,0.018554127568684763,-0.07282045779308771,0.0,0.0,1400.0,0.0,0.0,1400.0
1770735120.390759,5.195326328277588,5.55712890625,-0.7154531591079802,0.15992144965736163,0.018554127568684763,-0.07282045779308771,0.0,0.0,1400.0,0.0,0.0,1400.0
1770735120.4407618,5.206034183502197,5.547264099121094,-0.7164754122484869,0.1579336048209632,0.017223627305826963,-0.06489372442762054,0.0,0.0,1400.0,0.0,0.0,1400.0
1770735120.4907699,5.206034183502197,5.547264099121094,-0.7164754122484869,0.1579336048209632,0.017223627305826963,-0.06489372442762054,0.0,0.0,1500.0,0.0,0.0,1500.0
1770735120.5407465,5.21712064743042,5.538349151611328,-0.7146171983191589,0.15588759978988273,0.015621539761528518,-0.05288907447531482,0.0,0.0,1500.0,0.0,0.0,1500.0
1770735120.590735,5.21712064743042,5.538349151611328,-0.7146171983191589,0.15588759978988273,0.015621539761528518,-0.05288907447531482,0.0,0.0,1500.0,0.0,0.0,1500.0
1770735120.6407804,5.228537082672119,5.52916145324707,-0.7246439756078376,0.15395594754628858,0.013951515190953261,-0.04872555871785665,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.690688,5.228537082672119,5.52916145324707,-0.7246439756078376,0.15395594754628858,0.013951515190953261,-0.04872555871785665,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.7407727,5.240704536437988,5.521212100982666,-0.7291218161817952,0.15217410406616108,0.012845801591135698,-0.047966417638350536,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.7907524,5.240704536437988,5.521212100982666,-0.7291218161817952,0.15217410406616108,0.012845801591135698,-0.047966417638350536,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.8407412,5.253732681274414,5.512059688568115,-0.7319289735602865,0.15103606478072812,0.01238143545646442,-0.046811727913331054,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.890775,5.253732681274414,5.512059688568115,-0.7319289735602865,0.15103606478072812,0.01238143545646442,-0.046811727913331054,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.9407253,5.266807556152344,5.500217437744141,-0.7328289860387667,0.15120705471722942,0.011839135403970222,-0.043082437905844,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735120.9908197,5.266807556152344,5.500217437744141,-0.7328289860387667,0.15120705471722942,0.011839135403970222,-0.043082437905844,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.040759,5.279562473297119,5.487016677856445,-0.7272040542965872,0.15289297530489754,0.010570655202364927,-0.03254589707660002,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.0907629,5.279562473297119,5.487016677856445,-0.7272040542965872,0.15289297530489754,0.010570655202364927,-0.03254589707660002,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.1407886,5.296202659606934,5.4713850021362305,-0.728780836310416,0.15725141592207353,0.008739687013827626,-0.02351698365191863,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.190656,5.296202659606934,5.4713850021362305,-0.728780836310416,0.15725141592207353,0.008739687013827626,-0.02351698365191863,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.2407038,5.317259788513184,5.453237056732178,-0.7233676529402882,0.16563512119200172,0.0069226443537793465,-0.012639601254578041,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.2907434,5.317259788513184,5.453237056732178,-0.7233676529402882,0.16563512119200172,0.0069226443537793465,-0.012639601254578041,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.3406894,5.342039108276367,5.431486129760742,-0.7197782526112038,0.17911541904795678,0.005322142535653437,-0.0021577340341575914,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.390654,5.342039108276367,5.431486129760742,-0.7197782526112038,0.17911541904795678,0.005322142535653437,-0.0021577340341575914,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.4407709,5.369146823883057,5.405196666717529,-0.7131783063008319,0.19812262279783177,0.003394388712097015,0.009088874942837511,0.0,0.0,1600.0,0.0,0.0,1600.0
1770735121.4907699,5.369146823883057,5.405196666717529,-0.7131783063008319,0.19812262279783177,0.003394388712097015,0.009088874942837511,-1000.0,-0.05235987755982988,1600.0,0.0,-1000.0,1600.0
1770735121.5406616,5.398541450500488,5.376337051391602,-0.7030644872313383,0.22209094850495517,0.0008494170096272637,0.022914357385849606,-2000.0,-0.10471975511965977,1600.0,0.0,-2000.0,1600.0
1770735121.5907693,5.398541450500488,5.376337051391602,-0.7030644872313383,0.22209094850495517,0.0008494170096272637,0.022914357385849606,-2000.0,-0.10471975511965977,1600.0,0.0,-2000.0,1600.0
1770735121.6406496,5.430927276611328,5.345136642456055,-0.6900967327553555,0.25017720612744904,-0.002268999744167491,0.03983071330933884,-3000.0,-0.15707963267948963,1600.0,0.0,-3000.0,1600.0
1770735121.6907175,5.430927276611328,5.345136642456055,-0.6900967327553555,0.25017720612744904,-0.002268999744167491,0.03983071330933884,-3000.0,-0.15707963267948963,1600.0,0.0,-3000.0,1600.0
1770735121.7407238,5.466704845428467,5.3121538162231445,-0.6805981953117071,0.28141438800552215,-0.005593849992570999,0.05458795227143787,-4000.0,-0.20943951023931953,1600.0,0.0,-4000.0,1600.0
1770735121.7907712,5.466704845428467,5.3121538162231445,-0.6805981953117071,0.28141438800552215,-0.005593849992570999,0.05458795227143787,-5000.0,-0.2617993877991494,1600.0,0.0,-5000.0,1600.0
1770735121.8406854,5.505486011505127,5.276754856109619,-0.6687519193043299,0.31495165261572244,-0.00897155405209344,0.06750476813777215,-5000.0,-0.2617993877991494,1600.0,0.0,-5000.0,1600.0
1770735121.890766,5.505486011505127,5.276754856109619,-0.6687519193043299,0.31495165261572244,-0.00897155405209344,0.06750476813777215,-6000.0,-0.31415926535897926,1600.0,0.0,-6000.0,1600.0
1770735121.9407387,5.545915126800537,5.239095211029053,-0.6604032358675003,0.3497239201622419,-0.012635534062678741,0.07569290745114697,-7000.0,-0.36651914291880916,1600.0,0.0,-7000.0,1600.0
1770735121.9907606,5.545915126800537,5.239095211029053,-0.6604032358675003,0.3497239201622419,-0.012635534062678741,0.07569290745114697,-7000.0,-0.36651914291880916,1600.0,0.0,-7000.0,1600.0
1770735122.0407507,5.588647842407227,5.19987154006958,-0.6572461272499073,0.3847864881887349,-0.01659264891054205,0.07575385816238404,-8000.0,-0.41887902047863906,1600.0,0.0,-8000.0,1600.0
1770735122.0907454,5.588647842407227,5.19987154006958,-0.6572461272499073,0.3847864881887349,-0.01659264891054205,0.07575385816238404,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.140786,5.633392810821533,5.158782482147217,-0.659531895753398,0.41942623326255585,-0.02081793725095081,0.06606049274731116,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.1907687,5.633392810821533,5.158782482147217,-0.659531895753398,0.41942623326255585,-0.02081793725095081,0.06606049274731116,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.2407734,5.682200908660889,5.118112087249756,-0.6697473298912877,0.45325803314991986,-0.02418523791924858,0.04493537157561034,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.2907557,5.682200908660889,5.118112087249756,-0.6697473298912877,0.45325803314991986,-0.02418523791924858,0.04493537157561034,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.3407297,5.732666015625,5.0769782066345215,-0.688284841261587,0.4857477996628456,-0.025944553366735314,0.011977533700020367,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.3907015,5.732666015625,5.0769782066345215,-0.688284841261587,0.4857477996628456,-0.025944553366735314,0.011977533700020367,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.4407506,5.783475875854492,5.034522533416748,-0.71477242861768,0.5162867778873012,-0.02600776126849379,-0.031487566400700086,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.4907568,5.783475875854492,5.034522533416748,-0.71477242861768,0.5162867778873012,-0.02600776126849379,-0.031487566400700086,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.5407434,5.8342790603637695,4.989353179931641,-0.7551155706915988,0.5446348853321936,-0.024822093612071543,-0.0880438062755236,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.5907593,5.8342790603637695,4.989353179931641,-0.7551155706915988,0.5446348853321936,-0.024822093612071543,-0.0880438062755236,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.6407235,5.887009620666504,4.943687438964844,-0.8006358568200902,0.5708863609255003,-0.02181082613222618,-0.1524863446020291,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.6908135,5.887009620666504,4.943687438964844,-0.8006358568200902,0.5708863609255003,-0.02181082613222618,-0.1524863446020291,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.7407794,5.939342498779297,4.8963847160339355,-0.8536076389356788,0.5948895633734824,-0.016703097935400712,-0.22079401359240913,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.7908118,5.939342498779297,4.8963847160339355,-0.8536076389356788,0.5948895633734824,-0.016703097935400712,-0.22079401359240913,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.8407815,5.990729331970215,4.848197937011719,-0.9082922891826284,0.6162631182539554,-0.009246942756695454,-0.2863768992348157,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.890801,5.990729331970215,4.848197937011719,-0.9082922891826284,0.6162631182539554,-0.009246942756695454,-0.2863768992348157,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.9407997,6.03865647315979,4.797286033630371,-0.9642110848051537,0.6344728219617999,-0.00023063292799016533,-0.3446047727616843,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735122.9908276,6.03865647315979,4.797286033630371,-0.9642110848051537,0.6344728219617999,-0.00023063292799016533,-0.3446047727616843,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.0408084,6.084344863891602,4.7437005043029785,-1.0148555667995254,0.6494744872527403,0.009516832011490783,-0.38882254127733773,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.0907474,6.084344863891602,4.7437005043029785,-1.0148555667995254,0.6494744872527403,0.009516832011490783,-0.38882254127733773,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.1407573,6.126681089401245,4.686679363250732,-1.0590291016135094,0.6615139377892449,0.01880340071115174,-0.4148024720460303,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.1907516,6.126681089401245,4.686679363250732,-1.0590291016135094,0.6615139377892449,0.01880340071115174,-0.4148024720460303,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.2406917,6.169827699661255,4.629476547241211,-1.1032193648434845,0.6712407517746014,0.028177779861272626,-0.4272880659044648,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.2907603,6.169827699661255,4.629476547241211,-1.1032193648434845,0.6712407517746014,0.028177779861272626,-0.4272880659044648,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.340729,6.209728956222534,4.5716071128845215,-1.1469598208180765,0.6786075463757479,0.03766424671333167,-0.4319088457120125,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.3907573,6.209728956222534,4.5716071128845215,-1.1469598208180765,0.6786075463757479,0.03766424671333167,-0.4319088457120125,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.4406753,6.2455339431762695,4.5130767822265625,-1.1935809376078943,0.6832453661210806,0.04676195039389609,-0.4352970789663098,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
1770735123.490779,6.2455339431762695,4.5130767822265625,-1.1935809376078943,0.6832453661210806,0.04676195039389609,-0.4352970789663098,-9000.0,-0.47123889803846897,1600.0,0.0,-9000.0,1600.0
