t_sec,x,y,yaw,u,v,r,applied_steer_ui,applied_steer_rad,applied_thrust,bow,target_steer_ui,target_thrust
1769434776.7375796,6.930420637130737,5.71152925491333,-2.3375194187028305,0.4066546528309074,0.10444407942969956,0.06316207609689913,0.0,0.0,100.0,0.0,0.0,100.0
1769434776.787487,6.930420637130737,5.71152925491333,-2.3375194187028305,0.4066546528309074,0.10444407942969956,0.06316207609689913,0.0,0.0,100.0,0.0,0.0,100.0
1769434776.837486,6.910161256790161,5.682086944580078,-2.3261164479960743,0.39969666905065987,0.09736005429819636,0.07847564685391843,0.0,0.0,100.0,0.0,0.0,100.0
1769434776.887463,6.910161256790161,5.682086944580078,-2.3261164479960743,0.39969666905065987,0.09736005429819636,0.07847564685391843,0.0,0.0,200.0,0.0,0.0,200.0
1769434776.937563,6.891083717346191,5.65333366394043,-2.3117739439031753,0.3920143297515994,0.09042700626308678,0.09047947277893126,0.0,0.0,200.0,0.0,0.0,200.0
1769434776.9875138,6.891083717346191,5.65333366394043,-2.3117739439031753,0.3920143297515994,0.09042700626308678,0.09047947277893126,0.0,0.0,200.0,0.0,0.0,200.0
1769434777.0375605,6.872469902038574,5.6250691413879395,-2.3005256323048746,0.3838609941091998,0.08384354144055735,0.09825155555478414,0.0,0.0,200.0,0.0,0.0,200.0
1769434777.0875454,6.872469902038574,5.6250691413879395,-2.3005256323048746,0.3838609941091998,0.08384354144055735,0.09825155555478414,0.0,0.0,300.0,0.0,0.0,300.0
1769434777.1375546,6.854043006896973,5.5965576171875,-2.293589940823384,0.37572089494234306,0.07782311169146727,0.09938405805125725,0.0,0.0,300.0,0.0,0.0,300.0
1769434777.1874802,6.854043006896973,5.5965576171875,-2.293589940823384,0.37572089494234306,0.07782311169146727,0.09938405805125725,0.0,0.0,300.0,0.0,0.0,300.0
1769434777.2375546,6.836163520812988,5.5691938400268555,-2.2839936422636002,0.36770958741011395,0.07231250960753276,0.09813465194335742,0.0,0.0,300.0,0.0,0.0,300.0
1769434777.2874937,6.836163520812988,5.5691938400268555,-2.2839936422636002,0.36770958741011395,0.07231250960753276,0.09813465194335742,0.0,0.0,400.0,0.0,0.0,400.0
1769434777.3375764,6.818440198898315,5.542327880859375,-2.273441816779499,0.3599482660446645,0.06718394935939541,0.09741179271153695,0.0,0.0,400.0,0.0,0.0,400.0
1769434777.3874545,6.818440198898315,5.542327880859375,-2.273441816779499,0.3599482660446645,0.06718394935939541,0.09741179271153695,0.0,0.0,400.0,0.0,0.0,400.0
1769434777.437601,6.802119016647339,5.516536712646484,-2.2645141312888457,0.3521391767980029,0.06247846742700382,0.09649265451687768,0.0,0.0,500.0,0.0,0.0,500.0
1769434777.4875813,6.802119016647339,5.516536712646484,-2.2645141312888457,0.3521391767980029,0.06247846742700382,0.09649265451687768,0.0,0.0,500.0,0.0,0.0,500.0
1769434777.5375364,6.785668849945068,5.490018844604492,-2.2578749730296375,0.34460919126417533,0.05832768035767633,0.09354946637781006,0.0,0.0,500.0,0.0,0.0,500.0
1769434777.5874662,6.785668849945068,5.490018844604492,-2.2578749730296375,0.34460919126417533,0.05832768035767633,0.09354946637781006,0.0,0.0,500.0,0.0,0.0,500.0
1769434777.637478,6.770091533660889,5.464353084564209,-2.249722477404059,0.33733168219147214,0.05476415958929633,0.09043502234953585,0.0,0.0,600.0,0.0,0.0,600.0
1769434777.6874692,6.770091533660889,5.464353084564209,-2.249722477404059,0.33733168219147214,0.05476415958929633,0.09043502234953585,0.0,0.0,600.0,0.0,0.0,600.0
1769434777.7374377,6.754520416259766,5.439454078674316,-2.2432913947976765,0.3302745580665851,0.05155987307608429,0.08656091016106536,0.0,0.0,600.0,0.0,0.0,600.0
1769434777.7874625,6.754520416259766,5.439454078674316,-2.2432913947976765,0.3302745580665851,0.05155987307608429,0.08656091016106536,0.0,0.0,700.0,0.0,0.0,700.0
1769434777.837573,6.739433526992798,5.414165019989014,-2.236950995139332,0.32360381978939823,0.048792670542329705,0.08234053010979725,0.0,0.0,700.0,0.0,0.0,700.0
1769434777.887429,6.739433526992798,5.414165019989014,-2.236950995139332,0.32360381978939823,0.048792670542329705,0.08234053010979725,0.0,0.0,700.0,0.0,0.0,700.0
1769434777.9374719,6.72518253326416,5.390254974365234,-2.2329975210445054,0.317027899872198,0.04636424632024488,0.07649215288062962,0.0,0.0,800.0,0.0,0.0,800.0
1769434777.98746,6.72518253326416,5.390254974365234,-2.2329975210445054,0.317027899872198,0.04636424632024488,0.07649215288062962,0.0,0.0,800.0,0.0,0.0,800.0
1769434778.0375776,6.7107319831848145,5.365787506103516,-2.2291104361231024,0.31078283484375957,0.04426997214194759,0.06979039352019734,0.0,0.0,800.0,0.0,0.0,800.0
1769434778.087498,6.7107319831848145,5.365787506103516,-2.2291104361231024,0.31078283484375957,0.04426997214194759,0.06979039352019734,0.0,0.0,800.0,0.0,0.0,800.0
